Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
REIVER PICTURES LIMITED;EH6 8HN;59113;"59111
59113";
ALL HANDS ON;EH15 1JJ;59112;"59112
90030
94920";
CINETOPIA LIMITED;EH7 5EX;59112;"59112
79120
85320
85520";
FOREVER INFLUENTIAL RECORDS ENTERTAINMENT LTD;EH14 1SZ;18201;"18201
18202
59200";
PADVENTURE LTD;EH3 1FD;59112;"59112
62020
62090
74202";
MIA'S AIM C.I.C.;EH54 5DT;90010;"46900
47990
59112
90010";
MARYSIA SOFTWARE LIMITED;EH4 5QA;33150;"33150
59112
62012
72190";
SMASHING PICTURES LTD;EH9 1HG;59111;59111;
GILMORE & BRYAN LTD;EH22 3FA;59112;59112;
HALF CUT FILMS LTD;EH21 6UU;59112;"59112
74209";
LITTLE CREATIONS PRODUCTION LTD;EH48 1DF;59111;59111;
IBERODOCS CIC;EH10 4ES;59140;"59140
90010
90020
90030";
BEYONGOLIA PRODUCTIONS LTD;EH6 6RR;59112;59112;
ROWANTREE MEDIA LTD;EH2 3JG;59111;"59111
59112
59120
74209";
ADVENTURE EVERYTHING LTD;EH15 3AS;59112;"59112
73110";
LOTHIAN FILMS LTD;EH7 5UF;59111;"59111
59112
59113";
INSPIRED EDINBURGH LTD;EH12 5DD;59112;"59112
60200
73110";
KILTY AS CHARGED LIMITED;EH10 4LD;59111;59111;
MOTION CANDY LIMITED;EH33 2LA;59112;59112;
FORTH DIMENSION FILMWORKS LTD;EH10 4DR;59111;59111;
BOX MEDIA AGENCY LTD;EH2 4DB;59111;"59111
59120
63990";
OF THE WILD LTD;EH26 9NJ;59111;59111;
CHERRY ISLAND INC LTD;EH10 4DR;59111;59111;
WHITE STAG FILMS LTD;EH6 6RQ;59111;"59111
59112
59113";
LAPWING CREATIVE LTD;EH14 1BD;59112;59112;
FERAL INC LTD;EH8 8HR;59111;"59111
59113";
SEVENTH CROW STUDIO LTD;EH7 4AQ;59112;59112;
DB-M SOUND LIMITED;EH2 3JG;59111;"59111
82990";
YOUNGMINDHS LTD;EH2 3JG;59112;"59112
59132";
PD CREATIVE LTD;EH19 3HP;59112;59112;
AKAINA LTD;EH53 0DA;59112;"59112
74209
90030";
ANOINTED MUSIC MEDIA PLATFORM LTD;EH4 4BY;59112;"59112
59200
86900
94910";
ZEPHYR MEDIA LTD;EH7 4AQ;59112;59112;
MARIA MARKETING LTD;EH54 7BT;59112;"59112
62020";
PATON CREATIVE LIMITED;EH7 5JT;59112;"59112
59120
73110
74100";
ACCESS ALL AREAS FILM LIMITED;EH15 2AY;59111;"59111
59112";
LM & LB LIMITED;EH11 4NR;59112;59112;
GLOBALISATION SCOTLAND LTD;EH2 3JG;59131;"59131
70229
73110
73120";
MOBILE FILM SCHOOL SCOTLAND LTD;EH12 6JS;59112;59112;
